Date,Watch Hours,Videos Watched,Time per Video (min),In Cycle
2024-05-30,6.39,689,0.56,No
2024-05-31,3.32,179,1.11,Yes
2024-06-01,2.93,664,0.26,Yes
2024-06-02,6.29,160,2.36,Yes
2024-06-03,7.13,534,0.8,Yes
2024-06-04,1.54,333,0.28,Yes
2024-06-05,2.05,508,0.24,No
2024-06-06,1.4,325,0.26,No
2024-06-07,1.49,409,0.22,No
2024-06-08,2.53,574,0.26,No
2024-06-09,1.21,287,0.25,No
2024-06-10,1.17,225,0.31,No
2024-06-11,0.16,45,0.21,No
2024-06-12,3.06,767,0.24,No
2024-06-13,2.87,647,0.27,No
2024-06-14,3.38,774,0.26,No
2024-06-15,3.1,581,0.32,No
2024-06-16,3.51,643,0.33,No
2024-06-17,2.42,497,0.29,No
2024-06-18,1.1,215,0.31,No
2024-06-19,3.65,612,0.36,No
2024-06-20,3.67,586,0.38,No
2024-06-21,4.67,754,0.37,No
2024-06-22,3.5,702,0.3,No
2024-06-23,2.4,594,0.24,No
2024-06-24,2.7,601,0.27,No
2024-06-25,3.56,795,0.27,No
2024-06-26,2.83,635,0.27,No
2024-06-27,2.62,546,0.29,No
2024-06-28,5.38,1097,0.29,No
2024-06-29,4.57,920,0.3,No
2024-06-30,2.55,670,0.23,No
2024-07-01,3.52,966,0.22,No
2024-07-02,4.54,635,0.43,Yes
2024-07-03,3.14,472,0.4,Yes
2024-07-04,3.59,847,0.25,Yes
2024-07-05,1.16,540,0.13,Yes
2024-07-06,2.39,479,0.3,Yes
2024-07-07,3.95,909,0.26,No
2024-07-08,3.37,954,0.21,No
2024-07-09,0.39,139,0.17,No
2024-07-10,0.97,185,0.31,No
2024-07-11,2.81,511,0.33,No
2024-07-12,1.73,380,0.27,No
2024-07-13,3.93,779,0.3,No
2024-07-14,5.39,801,0.4,No
2024-07-15,2.48,391,0.38,No
2024-07-16,2.11,350,0.36,No
2024-07-17,3.79,675,0.34,No
2024-07-18,2.14,480,0.27,No
2024-07-19,2.78,516,0.32,No
2024-07-20,2.5,507,0.3,No
2024-07-21,4.02,507,0.48,No
2024-07-22,2.89,430,0.4,No
2024-07-23,1.06,147,0.43,No
2024-07-24,0.02,13,0.09,No
2024-07-26,0.01,4,0.15,No
2024-07-27,0.3,65,0.28,No
2024-07-28,0.26,47,0.33,No
2024-07-29,1.86,232,0.48,No
2024-07-30,5.19,739,0.42,No
2024-07-31,4.92,899,0.33,No
2024-08-01,4.35,747,0.35,No
2024-08-02,5.17,964,0.32,Yes
2024-08-03,0.85,172,0.3,Yes
2024-08-04,3.25,630,0.31,Yes
2024-08-05,5.33,964,0.33,Yes
2024-08-06,4.2,704,0.36,Yes
2024-08-07,6.07,1170,0.31,Yes
2024-08-08,4.01,849,0.28,Yes
2024-08-09,2.81,684,0.25,No
2024-08-10,3.47,572,0.36,No
2024-08-11,3.1,670,0.28,No
2024-08-12,1.99,524,0.23,No
2024-08-13,3.47,706,0.29,No
2024-08-14,3.23,645,0.3,No
2024-08-15,3.18,804,0.24,No
2024-08-16,2.73,669,0.24,No
2024-08-17,1.95,471,0.25,No
2024-08-18,4.07,407,0.6,No
2024-08-19,1.83,405,0.27,No
2024-08-20,6.01,720,0.5,No
2024-08-21,11.86,696,1.02,No
2024-08-22,5.51,837,0.39,No
2024-08-23,2.55,568,0.27,No
2024-08-24,1.21,271,0.27,No
2024-08-25,4.38,891,0.29,No
2024-08-26,3.62,1023,0.21,No
2024-08-27,4.28,1234,0.21,No
2024-08-28,5.64,1664,0.2,No
2024-08-29,2.92,907,0.19,No
2024-08-30,4.83,1550,0.19,No
2024-08-31,1.53,1424,0.06,No
2024-09-01,3.02,730,0.25,Yes
2024-09-02,3.72,933,0.24,Yes
2024-09-03,2.67,702,0.23,Yes
2024-09-04,3.87,824,0.28,Yes
2024-09-05,4.7,1125,0.25,Yes
2024-09-06,2.09,379,0.33,Yes
2024-09-07,2.28,380,0.36,Yes
2024-09-08,2.56,406,0.38,No
2024-09-09,2.11,437,0.29,No
2024-09-10,4.69,640,0.44,No
2024-09-11,3.01,585,0.31,No
2024-09-12,3.5,629,0.33,No
2024-09-13,1.39,268,0.31,No
2024-09-14,0.87,160,0.33,No
2024-09-15,0.85,172,0.3,No
2024-09-16,0.44,48,0.55,No
2024-09-17,0.51,91,0.34,No
2024-09-18,2.28,332,0.41,No
2024-09-19,0.24,51,0.28,No
2024-09-20,0.1,16,0.38,No
2024-09-21,0.81,96,0.51,No
2024-09-22,1.26,192,0.39,No
2024-09-23,2.53,157,0.97,No
2024-09-24,0.82,177,0.28,No
2024-09-25,1.21,278,0.26,No
2024-09-26,1.37,296,0.28,No
2024-09-27,0.69,182,0.23,No
2024-09-28,1.5,261,0.34,No
2024-09-29,0.88,191,0.28,No
2024-09-30,0.6,99,0.36,Yes
2024-10-01,2.21,355,0.37,Yes
2024-10-02,0.43,113,0.23,Yes
2024-10-03,0.68,154,0.26,Yes
2024-10-04,1.96,483,0.24,Yes
2024-10-05,1.16,174,0.4,Yes
2024-10-06,0.77,154,0.3,No
2024-10-07,1.7,318,0.32,No
2024-10-08,1.29,323,0.24,No
2024-10-09,0.03,4,0.45,No
2024-10-10,0.86,131,0.39,No
2024-10-11,0.31,108,0.17,No
2024-10-12,6.31,625,0.61,No
2024-10-13,1.41,275,0.31,No
2024-10-14,1.25,291,0.26,No
2024-10-15,1.19,217,0.33,No
2024-10-16,0.27,69,0.23,No
2024-10-17,0.3,62,0.29,No
2024-10-18,2.7,105,1.54,No
2024-10-19,0.68,148,0.28,No
2024-10-20,0.01,4,0.15,No
2024-10-21,1.28,315,0.24,No
2024-10-22,2.28,115,1.19,No
2024-10-23,0.93,241,0.23,No
2024-10-24,0.46,119,0.23,No
2024-10-25,1.42,309,0.28,No
2024-10-26,1.17,238,0.29,No
2024-10-27,1.97,436,0.27,No
2024-10-28,2.58,544,0.28,No
2024-10-29,2.13,271,0.47,No
2024-10-30,0.95,142,0.4,Yes
2024-10-31,2.26,175,0.77,Yes
2024-11-01,0.71,140,0.3,Yes
2024-11-02,1.95,252,0.46,Yes
2024-11-03,0.11,21,0.31,Yes
2024-11-04,1.19,201,0.36,Yes
2024-11-05,2.79,765,0.22,No
2024-11-06,0.39,100,0.23,No
2024-11-07,0.75,168,0.27,No
2024-11-08,0.72,160,0.27,No
2024-11-09,2.5,387,0.39,No
2024-11-10,1.09,181,0.36,No
2024-11-11,1.37,217,0.38,No
2024-11-12,0.79,153,0.31,No
2024-11-13,0.5,180,0.17,No
2024-11-14,1.21,362,0.2,No
2024-11-15,5.59,322,1.04,No
2024-11-16,2.17,647,0.2,No
2024-11-17,0.97,345,0.17,No
2024-11-18,2.01,522,0.23,No
2024-11-19,1.29,291,0.27,No
2024-11-20,0.72,141,0.31,No
2024-11-21,0.93,189,0.3,No
2024-11-22,1.48,392,0.23,No
2024-11-23,2.57,843,0.18,No
2024-11-24,4.33,1368,0.19,No
2024-11-25,1.58,587,0.16,No
